,HOMBRES,HOMBRES,HOMBRES,HOMBRES,HOMBRES,HOMBRES,HOMBRES,HOMBRES,HOMBRES,HOMBRES,HOMBRES,HOMBRES
,BLANCAS,BLANCAS,BLANCAS,AMARILLAS,AMARILLAS,AMARILLAS,AZULES,AZULES,AZULES,ROJAS,ROJAS,ROJAS
Puntos HDCP,Informal 100%,Medal 95%,Four Ball 85%,Informal 100%,Medal 95%,Four Ball 85%,Informal 100%,Medal 95%,Four Ball 85%,Informal 100%,Medal 95%,Four Ball 85%
18,"13,2 – 13,9","13,9 – 14,7","15,7 – 16,5","15,3 – 16,0","16,0 – 16,8","17,9 – 18,8","19,1 – 19,9","19,9 – 20,7","21,8 – 22,8","21,4 – 22,3","22,3 – 23,2","24,3 – 25,3"
19,"14,0 - 14,7","14,8 - 15,5","16,6 - 17,5","16,1 - 16,9","16,9 - 17,7","18,9 - 19,8","20,0 - 20,8","20,8 - 21,7","22,9 - 23,8","22,4 - 23,2","23,3 - 24,1","25,4 - 26,4"
20,"14,8 - 15,5","15,6 - 16,4","17,6 - 18,5","17,0 - 17,7","17,8 - 18,6","19,9 - 20,8","20,9 - 21,7","21,8 - 22,6","23,9 - 24,9","23,3 - 24,1","24,2 - 25,1","26,5 - 27,5"
21,"15,6 - 16,3","16,5 - 17,3","18,6 - 19,4","17,8 - 18,6","18,7 - 19,5","20,9 - 21,8","21,8 - 22,5","22,7 - 23,6","25,0 - 25,9","24,2 - 25,1","25,2 - 26,1","27,6 - 28,6"
22,"16,4 – 17,1","17,4 – 18,1","19,5 – 20,4","18,7 – 19,4","19,6 – 20,4","21,9 – 22,8","22,6 – 23,4","23,7 – 24,5","26,0 – 27,0","25,2 – 26,0","26,2 – 27,1","28,7 – 29,7"
23,"17,2 – 18,0","18,2 – 19,0","20,5 – 21,4","19,5 – 20,3","20,5 – 21,3","22,9 – 23,8","23,5 – 24,3","24,6 – 25,4","27,1 – 28,0","26,1 – 26,9","27,2 – 28,0","29,8 – 30,7"
24,"18,1 – 18,8","19,1 – 19,8","21,5 – 22,3","20,4 – 21,1","21,4 – 22,2","23,9 – 24,8","24,4 – 25,2","25,5 – 26,4","28,1 – 29,1","27,0 – 27,8","28,1 – 29,0","30,8 – 31,8"
25,"18,9 – 19,6","19,9 – 20,7","22,4 – 23,3","21,2 – 22,0","22,3 – 23,1","24,9 – 25,8","25,3 – 26,1","26,5 – 27,3","29,2 – 30,1","27,9 – 28,8","29,1 – 30,0","31,9 – 32,9"
26,"19,7 – 20,4","20,8 – 21,6","23,4 – 24,3","22,1 – 22,8","23,2 – 24,0","25,9 – 26,8","26,2 – 27,0","27,4 – 28,2","30,2 – 31,2","28,9 – 29,7","30,1 – 31,0","33,0 – 34,0"
27,"20,5 – 21,2","21,7 – 22,4","24,4 – 25,2","22,9 – 23,7","24,1 – 24,9","26,9 – 27,8","27,1 – 27,9","28,3 – 29,2","31,3 – 32,2","29,8 – 30,6","31,1 – 31,9","34,1 – 35,1"
